circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,RADHA KRISHNA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,92,85.0,12480,146.2
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,RAJEEVGANDHI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,40,33.0,6727,61.64
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,RAMA RAO NAGAR,NON-DOMESTIC AND COMMERCIAL,2,35,30.0,3146,42.42
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SHILPI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,14,13.0,1339,13.58
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SHIVAJI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,57,54.0,5269,78.2
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SNEHAPURI COLONY,NON-DOMESTIC AND COMMERCIAL,2,55,52.0,5167,98.96
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SNEHAPURICOLONY II,NON-DOMESTIC AND COMMERCIAL,2,101,96.0,12713,203.48
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,STREET LIGHTS,NON-DOMESTIC AND COMMERCIAL,2,6,6.0,1431,11.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SWARAJ NAGAR,NON-DOMESTIC AND COMMERCIAL,2,181,177.0,20149,257.34
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SWARAJ NAGAR (SOUTH),NON-DOMESTIC AND COMMERCIAL,2,92,91.0,19013,136.14
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,VINAYAK NAGAR,NON-DOMESTIC AND COMMERCIAL,2,18,15.0,1095,24.98
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,VINAYAKRAO NAGAR,NON-DOMESTIC AND COMMERCIAL,2,212,203.0,33012,301.52
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,AVANTHI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,54,53.0,6035,82.4
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,AVANTHI NAGAR THOTA,NON-DOMESTIC AND COMMERCIAL,2,21,18.0,1627,37.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,AVANTHI NAGAR THOTA EAST,NON-DOMESTIC AND COMMERCIAL,2,26,26.0,3690,34.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,AVANTHI NAGAR THOTA NEW II,NON-DOMESTIC AND COMMERCIAL,2,23,22.0,1612,46.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,BALAJI SWARNA PURI,NON-DOMESTIC AND COMMERCIAL,2,92,86.0,30094,265.2
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,CHATRAPATHI SHIVAJI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,4,3.0,460,5.5
